country_code,country_name,percent_urban,wheat_percent_ip,maize_percent_ip,rice_percent_ip
2,Afghanistan,,,,
3,Albania,,,,
4,Algeria,,,,
5,American Samoa,,,,
6,Andorra,,,,
7,Angola,,,,
258,Anguilla,,,,
8,Antigua and Barbuda,,,,
9,Argentina,,,,
1,Armenia,,,,
22,Aruba,,,,
10,Australia,,,,
11,Austria,,,,
52,Azerbaijan,,,,
12,Bahamas,,,,
13,Bahrain,,,,
16,Bangladesh,,,,
14,Barbados,,,,
57,Belarus,,,,
255,Belgium,,,,
23,Belize,,,,
53,Benin,,,,
17,Bermuda,,,,
18,Bhutan,,,,
19,"Bolivia, Plurinational State of",,,,
80,Bosnia and Herzegovina,,,,
20,Botswana,,,,
21,Brazil,,,,
24,British Indian Ocean Territory,,,,
239,British Virgin Islands,,,,
26,Brunei Darussalam,,,,
27,Bulgaria,,,,
233,Burkina Faso,,,,
29,Burundi,,,,
35,Cabo Verde,,,,
115,Cambodia,,,,
32,Cameroon,,,,
33,Canada,,,,
36,Cayman Islands,,,,
37,Central African Republic,,,,
39,Chad,,,,
259,Channel Islands,,,,
40,Chile,,,,
351,China,,,,
42,Christmas Island,,,,
43,Cocos (Keeling) Islands,,,,
44,Colombia,,,,
45,Comoros,,,,
46,Congo,,,,
47,Cook Islands,,,,
48,Costa Rica,,,,
107,Cote d'Ivoire,,,,
98,Croatia,,,,
49,Cuba,,,,
50,Cyprus,,,,
167,Czech Republic,,,,
250,Democratic Republic of the Congo,,,,
54,Denmark,,,,
72,Djibouti,,,,
55,Dominica,,,,
56,Dominican Republic,,,,
58,Ecuador,,,,
59,Egypt,,,,
60,El Salvador,,,,
61,Equatorial Guinea,,,,
178,Eritrea,,,,
63,Estonia,,,,
209,"Eswatini, the Kingdom of",,,,
238,Ethiopia,,,,
65,Falkland Islands (Malvinas),,,,
64,Faroe Islands,,,,
66,Fiji,,,,
67,Finland,,,,
68,France,,,,
69,French Guiana,,,,
70,French Polynesia,,,,
74,Gabon,,,,
75,Gambia,,,,
73,Georgia,,,,
79,Germany,,,,
81,Ghana,,,,
82,Gibraltar,,,,
84,Greece,,,,
85,Greenland,,,,
86,Grenada,,,,
87,Guadeloupe,,,,
88,Guam,,,,
89,Guatemala,,,,
90,Guinea,,,,
